PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,2,2,0,0,0,4
BRONX PARK,0,0,8,3,0,1,0,12
BRONX RIVER PARKWAY,0,0,1,0,0,0,0,1
SOUNDVIEW PARK,1,0,0,0,0,0,0,1
CROTONA PARK,0,0,3,0,1,2,0,6
MACOMBS DAM PARK,0,0,3,0,0,0,0,3
CLAREMONT PARK,0,0,0,1,0,0,0,1
ST. MARY'S PARK BRONX,0,0,0,1,0,0,0,1
WILLIAMSBRIDGE OVAL,0,0,4,0,1,1,0,6
FRANZ SIGEL PARK,0,0,2,0,0,0,0,2
MULLALY PARK,0,0,2,0,0,0,0,2
TREMONT PARK,0,0,0,0,0,1,0,1
ST. JAMES PARK,0,0,0,0,0,1,0,1
RAINEY PARK BRONX,1,0,0,0,0,0,0,1
JOYCE KILMER PARK,0,0,2,0,0,0,0,2
CONCRETE PLANT PARK,0,0,1,0,0,0,0,1
DEVOE PARK,0,0,2,1,0,0,0,3
QUARRY BALLFIELDS,0,0,0,0,0,1,0,1
POE PARK,0,0,0,1,0,0,0,1
BELMONT PLAYGROUND BRONX,0,0,1,0,0,0,0,1
VIDALIA PARK,0,0,0,1,0,0,0,1
STORY PLAYGROUND,0,0,0,1,0,0,0,1
GIVAN SQUARE,0,0,0,1,0,0,0,1
PULASKI PARK,0,0,0,1,0,0,0,1
NELSON PLAYGROUND,0,0,0,2,0,0,0,2
PLIMPTON PLAYGROUND,0,0,1,0,0,0,0,1
CAPTAIN RIVERA PLAYGROUND,0,0,1,0,0,0,0,1
SLATTERY PLAYGROUND,0,0,0,1,0,0,0,1
CLARK PLAYGROUND,0,0,0,1,0,0,0,1
HALF-NELSON PLAYGROUND,0,0,0,0,0,1,0,1
VIRGINIA PLAYGROUND,0,0,0,0,0,1,0,1
MOSHOLU PLAYGROUND,0,0,1,0,0,0,0,1
