PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
VAN CORTLANDT PARK,0,0,1,0,0,1,0,2
BRONX PARK,0,0,4,0,0,1,0,5
FERRY POINT PARK,0,0,1,0,0,0,0,1
SOUNDVIEW PARK,0,1,0,0,0,0,0,1
CROTONA PARK,0,0,1,4,0,1,0,6
PELHAM PARKWAY,0,0,1,0,0,0,0,1
MOSHOLU PARKWAY,0,0,0,0,0,2,0,2
MACOMBS DAM PARK,0,0,2,0,0,1,0,3
CLAREMONT PARK,0,0,4,4,0,1,0,9
ST. MARY'S PARK BRONX,1,0,1,3,0,1,0,6
WILLIAMSBRIDGE OVAL,0,0,3,0,0,0,0,3
TREMONT PARK,0,0,1,0,0,1,0,2
AQUEDUCT WALK,0,0,2,0,0,3,0,5
STARLIGHT PARK,0,0,2,2,0,1,0,5
ST. JAMES PARK,0,0,1,1,0,0,0,2
RAINEY PARK BRONX,0,0,0,1,0,0,0,1
JOYCE KILMER PARK,0,0,1,1,0,0,0,2
DEVOE PARK,0,0,0,0,0,1,0,1
WASHINGTON'S WALK,0,0,0,1,0,0,0,1
RICHMAN (ECHO) PARK,0,0,1,0,0,0,0,1
GRANT PARK,0,0,1,1,0,1,0,3
WATSON GLEASON PLAYGROUND,0,0,2,0,0,0,0,2
NOBLE PLAYGROUND,0,0,0,0,0,1,0,1
BELMONT PLAYGROUND BRONX,0,0,1,0,0,0,0,1
SAW MILL PLAYGROUND,0,0,1,0,0,0,0,1
CLARK PLAYGROUND,0,0,0,1,0,0,0,1
MOUNT HOPE PLAYGROUND,0,0,1,0,0,0,0,1
THE PEARLY GATES,0,0,0,1,0,0,0,1
VIRGINIA PLAYGROUND,0,0,0,0,0,1,0,1
MOSHOLU PLAYGROUND,0,0,0,1,0,0,0,1
WALTON PARK,0,0,0,1,0,0,0,1
