PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,1,2,0,3,0,6
VAN CORTLANDT PARK,0,0,1,2,0,2,0,5
BRONX PARK,0,0,6,2,0,2,0,10
FERRY POINT PARK,0,0,0,1,0,1,0,2
BRONX RIVER PARKWAY,0,0,0,1,0,0,0,1
SOUNDVIEW PARK,0,0,5,1,0,0,0,6
CROTONA PARK,0,0,3,1,1,1,0,6
MOSHOLU PARKWAY,0,0,2,0,0,0,0,2
MACOMBS DAM PARK,0,1,0,1,0,0,0,2
CLAREMONT PARK,0,0,0,1,0,2,0,3
ST. MARY'S PARK BRONX,0,0,0,11,0,0,0,11
FRANZ SIGEL PARK,0,0,0,1,0,0,0,1
HARRIS PARK,0,0,0,0,0,0,1,1
TREMONT PARK,0,0,0,0,0,2,0,2
AQUEDUCT WALK,0,0,3,1,0,0,0,4
STARLIGHT PARK,0,0,0,3,0,0,0,3
ST. JAMES PARK,0,0,1,2,0,1,0,4
HAFFEN PARK,0,0,0,1,0,0,0,1
RAINEY PARK BRONX,0,0,0,1,0,0,0,1
JOYCE KILMER PARK,0,0,2,0,0,0,0,2
CONCRETE PLANT PARK,0,0,2,0,0,0,0,2
DEVOE PARK,0,0,1,1,0,0,0,2
RICHMAN (ECHO) PARK,0,0,1,0,0,0,0,1
CO-OP CITY FIELD,0,0,0,1,0,0,0,1
EDENWALD PLAYGROUND,0,0,0,1,0,0,0,1
POE PARK,0,0,0,0,0,1,0,1
LORETO PLAYGROUND,0,0,1,0,0,0,0,1
STORY PLAYGROUND,0,0,1,0,0,0,0,1
PATTERSON PLAYGROUND,0,0,0,1,0,0,0,1
CASTLE HILL PLAYGROUND,0,1,0,0,0,0,0,1
UNNAMED PARK ON MELROSE AVENUE,0,0,0,0,1,0,0,1
SAW MILL PLAYGROUND,0,0,0,1,0,0,0,1
VIRGINIA PARK,0,0,0,0,0,1,0,1
ESTELLA DIGGS PARK,0,0,0,1,0,0,0,1
MOUNT HOPE PLAYGROUND,0,0,1,0,0,0,0,1
