PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,1,0,0,0,0,1
VAN CORTLANDT PARK,0,0,2,1,0,3,0,6
BRONX PARK,1,0,1,2,0,2,0,6
FERRY POINT PARK,0,0,1,1,0,0,0,2
CROTONA PARK,0,0,5,4,0,1,1,11
MOSHOLU PARKWAY,0,0,2,0,0,0,0,2
MACOMBS DAM PARK,0,0,2,0,0,4,0,6
CLAREMONT PARK,0,0,0,5,0,2,0,7
SETON FALLS PARK,0,0,0,0,0,1,0,1
ST. MARY'S PARK BRONX,0,0,3,0,1,1,0,5
WILLIAMSBRIDGE OVAL,0,0,3,0,0,2,0,5
FRANZ SIGEL PARK,0,0,0,6,0,1,0,7
MULLALY PARK,0,0,2,1,0,4,0,7
STARLIGHT PARK,0,0,1,0,0,0,0,1
HAFFEN PARK,0,0,0,1,0,0,0,1
RAINEY PARK BRONX,0,0,1,3,0,0,0,4
JOYCE KILMER PARK,0,0,1,0,0,1,0,2
CONCRETE PLANT PARK,0,1,0,0,0,0,0,1
DEVOE PARK,0,0,1,0,0,0,0,1
GRANT PARK,0,0,1,0,0,0,0,1
WATSON GLEASON PLAYGROUND,0,0,1,1,0,3,0,5
POE PARK,0,0,0,0,1,0,0,1
WILLIS PLAYGROUND,0,0,1,0,0,0,0,1
SPACE TIME PLAYGROUND,1,0,0,2,0,0,0,3
MAGENTA PLAYGROUND,0,0,1,0,0,0,0,1
TIFFANY PLAYGROUND,0,0,1,0,0,0,0,1
CAPTAIN RIVERA PLAYGROUND,0,0,1,0,0,0,0,1
GOUVERNEUR PLAYGROUND,0,0,1,0,0,0,0,1
FLYNN PLAYGROUND,0,0,0,0,0,1,0,1
GALILEO PLAYGROUND,0,0,0,1,0,0,0,1
MOUNT HOPE PLAYGROUND,0,0,1,0,0,0,0,1
