PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
VAN CORTLANDT PARK,0,0,1,0,0,0,0,1
BRONX PARK,0,0,1,0,0,0,0,1
SOUNDVIEW PARK,0,0,0,1,0,0,0,1
CROTONA PARK,0,0,1,1,0,1,0,3
MACOMBS DAM PARK,0,0,2,0,0,1,0,3
CLAREMONT PARK,0,0,0,1,0,0,0,1
ST. MARY'S PARK BRONX,0,0,2,0,0,0,0,2
WILLIAMSBRIDGE OVAL,0,0,2,1,0,0,0,3
FRANZ SIGEL PARK,0,0,1,0,0,0,0,1
HARRIS PARK,0,0,0,0,0,1,0,1
MULLALY PARK,0,0,0,1,0,0,0,1
STARLIGHT PARK,0,0,1,0,0,0,0,1
ST. JAMES PARK,0,0,1,0,0,0,0,1
EWEN PARK,0,0,1,0,0,0,0,1
JOYCE KILMER PARK,0,0,2,0,0,0,0,2
RICHMAN (ECHO) PARK,0,0,2,0,0,0,0,2
BEHAGEN PLAYGROUND,0,0,0,0,0,1,0,1
FORT INDEPENDENCE PLAYGROUND,0,0,0,1,0,0,0,1
VIDALIA PARK,0,0,1,0,0,0,0,1
LYONS SQUARE PLAYGROUND,0,0,0,0,0,1,0,1
