PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
VAN CORTLANDT PARK,0,0,1,0,0,1,0,2
SOUNDVIEW PARK,0,0,2,0,0,1,0,3
CROTONA PARK,0,1,5,0,0,2,0,8
MACOMBS DAM PARK,0,0,1,0,0,7,0,8
CLAREMONT PARK,0,0,5,1,0,0,0,6
ST. MARY'S PARK BRONX,0,0,0,0,1,0,0,1
WILLIAMSBRIDGE OVAL,0,0,1,1,0,0,0,2
FRANZ SIGEL PARK,0,0,1,0,0,0,0,1
HARRIS PARK,0,0,0,0,0,1,0,1
MULLALY PARK,0,0,4,1,0,1,0,6
ST. JAMES PARK,1,0,0,3,0,0,0,4
EWEN PARK,0,0,1,0,0,0,0,1
RAINEY PARK BRONX,0,0,1,0,0,0,0,1
JOYCE KILMER PARK,0,0,0,1,0,0,0,1
DEVOE PARK,1,0,0,0,0,0,0,1
RICHMAN (ECHO) PARK,0,0,1,0,0,0,0,1
VINMONT VETERAN PARK,0,0,0,0,0,1,0,1
BEHAGEN PLAYGROUND,0,0,1,0,0,0,0,1
WATSON GLEASON PLAYGROUND,0,0,1,0,0,0,0,1
NOBLE PLAYGROUND,0,0,0,0,0,1,0,1
MERRIAM PLAYGROUND,0,0,1,0,0,0,0,1
ALLERTON PLAYGROUND,0,0,1,0,0,0,0,1
WILLIAMSBRIDGE SQUARE,0,1,0,0,0,0,0,1
ARCILLA PLAYGROUND,0,0,1,0,0,0,0,1
RIENZI PLAYGROUND,0,0,0,0,0,1,0,1
ZIMMERMAN PLAYGROUND,0,0,1,0,0,0,0,1
BRIDGE PLAYGROUND,0,0,1,0,0,0,0,1
