PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
AQUEDUCT WALK,0,0,1,0,0,1,0,2
BRONX PARK,0,0,0,1,0,3,0,4
CASERTA PLAYGROUND,0,0,0,1,0,0,0,1
CLAREMONT PARK,0,0,3,4,0,1,0,8
CONCRETE PLANT PARK,0,0,1,0,0,0,0,1
CROTONA PARK,0,0,4,2,0,1,0,7
DAWSON PLAYGROUND,0,0,1,0,0,0,0,1
DEVOE PARK,0,0,0,3,0,0,0,3
FERRY POINT PARK,0,0,0,1,0,1,0,2
HAFFEN PARK,0,0,1,0,0,0,0,1
MACOMBS DAM PARK,0,0,2,0,0,2,0,4
MAGENTA PLAYGROUND,0,0,1,0,0,0,0,1
MULLALY PARK,0,0,2,1,0,1,0,4
PELHAM BAY PARK,0,0,1,0,0,1,0,2
PONTIAC PLAYGROUND,0,0,1,0,0,0,0,1
QUARRY BALLFIELDS,0,0,1,0,0,0,0,1
RAINEY PARK BRONX,0,0,0,2,0,0,0,2
RIENZI PLAYGROUND,0,0,0,1,0,0,0,1
RIVER AVENUE PARKS,0,0,0,0,0,1,0,1
SETON PARK,0,0,1,0,0,0,0,1
SLATTERY PLAYGROUND,0,0,0,0,0,2,0,2
SOUNDVIEW PARK,1,0,0,0,0,1,0,2
SPUYTEN DUYVIL PLAYGROUND,0,0,0,0,0,1,0,1
ST. JAMES PARK,0,0,0,0,0,1,0,1
ST. MARY'S PARK BRONX,0,0,1,1,0,0,0,2
STARS & STRIPES PLAYGROUND,0,0,1,0,0,0,0,1
THE PEARLY GATES,0,0,0,0,0,1,0,1
VAN CORTLANDT PARK,0,1,0,0,0,0,0,1
WILLIAMSBRIDGE OVAL,0,0,5,3,0,0,0,8
