PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,1,0,0,0,0,1
VAN CORTLANDT PARK,0,0,0,0,0,1,0,1
BRONX PARK,0,0,1,0,0,0,0,1
BRONX RIVER PARKWAY,0,1,0,0,0,0,0,1
SOUNDVIEW PARK,0,0,0,1,0,0,0,1
CROTONA PARK,0,0,3,1,0,1,0,5
MOSHOLU PARKWAY,0,0,1,0,0,0,0,1
MACOMBS DAM PARK,1,0,1,0,0,0,0,2
CLAREMONT PARK,0,0,3,0,0,0,0,3
ST. MARY'S PARK BRONX,0,0,2,1,0,0,0,3
WILLIAMSBRIDGE OVAL,0,0,3,1,0,0,0,4
FRANZ SIGEL PARK,0,0,3,0,0,0,0,3
MULLALY PARK,0,0,4,1,0,0,0,5
BICENTENNIAL VETERANS MEMORIAL PARK,0,0,0,0,1,0,0,1
HAFFEN PARK,0,0,1,0,0,0,0,1
EWEN PARK,0,0,0,1,0,0,0,1
JOYCE KILMER PARK,0,0,1,0,0,0,0,1
DEVOE PARK,0,0,1,0,0,0,0,1
COLUCCI PLAYGROUND,0,0,1,0,0,0,0,1
VINMONT VETERAN PARK,0,0,1,0,0,0,0,1
LORETO PLAYGROUND,0,0,0,0,0,1,0,1
STORY PLAYGROUND,0,0,1,0,0,0,0,1
DUNBAR PLAYGROUND,0,0,0,0,0,1,0,1
AGNES HAYWOOD PLAYGROUND,0,0,1,0,0,0,0,1
PONTIAC PLAYGROUND,0,0,1,0,0,0,0,1
CLARK PLAYGROUND,0,0,1,0,0,0,0,1
GUN HILL PLAYGROUND,0,0,0,1,0,0,0,1
RIVER AVENUE PARKS,0,0,0,2,0,0,0,2
VIRGINIA PLAYGROUND,0,0,1,0,0,0,0,1
SEABURY PARK,0,0,0,0,0,1,0,1
