PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,0,1,0,2,0,3
VAN CORTLANDT PARK,0,0,1,4,0,1,0,6
BRONX PARK,0,0,2,2,0,2,0,6
FERRY POINT PARK,0,0,0,0,1,0,0,1
SOUNDVIEW PARK,0,0,0,0,0,1,0,1
CROTONA PARK,0,0,4,1,0,0,0,5
MOSHOLU PARKWAY,0,0,1,0,0,0,0,1
MACOMBS DAM PARK,0,0,0,1,0,4,0,5
CLAREMONT PARK,0,0,5,2,0,2,0,9
ST. MARY'S PARK BRONX,0,0,4,1,0,0,0,5
FRANZ SIGEL PARK,0,0,2,0,0,0,0,2
MULLALY PARK,0,0,0,2,0,1,0,3
TREMONT PARK,0,0,0,0,0,1,0,1
AQUEDUCT WALK,0,0,0,1,0,0,0,1
STARLIGHT PARK,0,0,2,0,0,0,0,2
ST. JAMES PARK,0,0,1,4,0,0,0,5
RAINEY PARK BRONX,0,0,1,0,0,0,0,1
JOYCE KILMER PARK,0,0,1,0,0,2,0,3
DEVOE PARK,0,0,1,0,0,1,0,2
QUARRY BALLFIELDS,0,0,1,0,0,0,0,1
RICHMAN (ECHO) PARK,0,0,0,2,0,0,0,2
GRANT PARK,0,0,0,1,0,0,0,1
WATSON GLEASON PLAYGROUND,0,0,0,0,0,1,0,1
POE PARK,0,0,2,0,0,0,0,2
BELMONT PLAYGROUND BRONX,0,0,1,0,0,0,0,1
WILLIS PLAYGROUND,0,0,0,2,0,0,0,2
LYONS SQUARE PLAYGROUND,0,0,0,1,0,0,0,1
PELHAM BAY LITTLE LEAGUE,0,0,0,0,1,0,0,1
NELSON PLAYGROUND,0,0,0,1,0,0,0,1
MATTHEWS MULINER PLAYGROUND,0,0,0,1,0,0,0,1
MELROSE PLAYGROUND,0,0,1,0,0,0,0,1
FLYNN PLAYGROUND,0,0,1,0,0,0,0,1
MOUNT HOPE PLAYGROUND,1,0,1,0,0,0,0,2
RIVER AVENUE PARKS,0,0,1,0,0,0,0,1
HALF-NELSON PLAYGROUND,0,0,0,1,0,0,0,1
HAVEMEYER PLAYGROUND,0,0,1,0,0,0,0,1
HORSESHOE PLAYGROUND,0,0,1,0,0,0,0,1
HUNTS POINT RIVERSIDE PARK,0,0,1,0,0,0,0,1
EAE J MITCHELL PARK,0,0,0,1,0,0,0,1
