PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,1,1,0,0,0,2
VAN CORTLANDT PARK,0,1,1,0,1,3,0,6
BRONX PARK,0,0,5,3,0,4,0,12
BRONX RIVER PARKWAY,0,0,1,0,0,0,0,1
SOUNDVIEW PARK,0,0,0,0,0,2,0,2
CROTONA PARK,0,0,4,1,0,2,0,7
MACOMBS DAM PARK,0,0,3,0,0,2,0,5
CLAREMONT PARK,1,0,2,0,0,1,0,4
SETON FALLS PARK,0,1,1,0,0,0,0,2
ST. MARY'S PARK BRONX,0,0,4,0,0,1,0,5
WILLIAMSBRIDGE OVAL,0,0,0,1,0,0,0,1
FRANZ SIGEL PARK,0,0,3,0,0,0,0,3
MILL POND PARK,0,0,0,1,0,0,0,1
MULLALY PARK,0,0,0,1,0,1,0,2
ST. JAMES PARK,0,0,1,1,0,0,0,2
BARRETTO POINT PARK,0,0,0,1,0,0,0,1
HAFFEN PARK,0,0,0,1,0,0,0,1
EWEN PARK,0,0,1,0,0,0,0,1
JOYCE KILMER PARK,0,0,5,2,0,0,0,7
CONCRETE PLANT PARK,0,0,1,0,0,0,0,1
DEVOE PARK,0,0,0,0,0,1,0,1
RICHMAN (ECHO) PARK,0,0,0,1,0,0,0,1
WATSON GLEASON PLAYGROUND,0,0,1,0,0,0,0,1
NOBLE PLAYGROUND,0,0,1,0,0,0,0,1
STARS & STRIPES PLAYGROUND,0,0,1,0,0,0,0,1
BELMONT PLAYGROUND BRONX,0,0,1,0,0,0,0,1
STORY PLAYGROUND,0,0,1,0,0,0,0,1
ARCILLA PLAYGROUND,0,0,0,0,0,1,0,1
RIENZI PLAYGROUND,0,0,0,0,0,1,0,1
NELSON PLAYGROUND,0,0,0,1,0,0,0,1
TIFFANY PLAYGROUND,0,0,1,0,0,0,0,1
SEDGWICK PLAYGROUND,0,0,1,0,0,0,0,1
MOTT PLAYGROUND,0,0,1,0,0,0,0,1
GOUVERNEUR PLAYGROUND,0,0,0,1,0,0,0,1
SAW MILL PLAYGROUND,0,1,0,0,0,0,0,1
VIRGINIA PARK,0,0,0,1,0,0,0,1
PONTIAC PLAYGROUND,0,0,0,1,0,0,0,1
WEBSTER PLAYGROUND,0,0,1,0,0,0,0,1
CLARK PLAYGROUND,0,0,1,0,0,0,0,1
GUN HILL PLAYGROUND,0,0,1,0,0,0,0,1
MOUNT HOPE PLAYGROUND,0,0,0,1,0,0,0,1
