PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,1,0,0,0,0,1
VAN CORTLANDT PARK,0,0,0,0,0,1,0,1
BRONX PARK,1,0,2,3,0,0,0,6
SOUNDVIEW PARK,0,0,1,0,0,0,0,1
CROTONA PARK,0,1,2,0,1,0,0,4
PELHAM PARKWAY,0,0,1,0,0,0,0,1
PUGSLEY CREEK PARK,0,0,1,1,0,0,0,2
MACOMBS DAM PARK,0,0,0,1,0,0,0,1
CLAREMONT PARK,1,0,3,1,0,0,0,5
FRANZ SIGEL PARK,0,0,2,1,0,0,0,3
MULLALY PARK,0,0,1,0,0,0,0,1
TREMONT PARK,0,0,1,0,0,0,0,1
AQUEDUCT WALK,0,1,0,0,0,0,0,1
RAINEY PARK BRONX,0,0,0,1,0,1,0,2
CONCRETE PLANT PARK,0,0,1,0,0,0,0,1
DEVOE PARK,0,0,0,3,0,0,0,3
RICHMAN (ECHO) PARK,0,0,0,1,0,0,0,1
GRANT PARK,0,0,0,2,0,0,0,2
NOBLE PLAYGROUND,0,0,0,1,0,0,0,1
HUNTS POINT PLAYGROUND,0,0,0,1,0,0,0,1
WALTON PARK,0,0,0,0,0,1,0,1
