PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,0,0,0,2,0,2
CROTONA PARK,0,0,1,2,0,0,0,3
PUGSLEY CREEK PARK,0,0,1,0,0,0,0,1
MACOMBS DAM PARK,0,0,2,0,0,1,0,3
CLAREMONT PARK,0,0,4,0,0,0,0,4
ST. MARY'S PARK BRONX,0,0,0,0,0,1,0,1
MULLALY PARK,0,0,2,1,0,1,0,4
ST. JAMES PARK,0,0,1,0,0,0,0,1
EDENWALD PLAYGROUND,0,0,1,0,0,0,0,1
POE PARK,0,0,1,0,0,0,0,1
BELMONT PLAYGROUND BRONX,0,0,1,0,0,1,0,2
AGNES HAYWOOD PLAYGROUND,0,0,1,0,0,0,0,1
HIGHBRIDGE PARK BRONX SIDE,0,0,1,0,0,0,0,1
WEBSTER PLAYGROUND,0,0,1,0,0,0,0,1
HUNTS POINT PLAYGROUND,0,0,1,0,0,0,0,1
