PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,1,1,0,0,0,0,2
VAN CORTLANDT PARK,0,0,2,1,0,0,0,3
CROTONA PARK,0,0,1,1,0,5,0,7
MACOMBS DAM PARK,0,0,1,0,0,0,0,1
CLAREMONT PARK,0,0,3,0,0,0,0,3
ST. MARY'S PARK BRONX,0,0,1,2,0,0,0,3
WILLIAMSBRIDGE OVAL,0,0,1,1,0,0,0,2
AQUEDUCT WALK,0,0,0,1,0,0,0,1
RAINEY PARK BRONX,0,0,0,1,0,0,0,1
JOYCE KILMER PARK,0,0,2,0,0,1,0,3
QUARRY BALLFIELDS,0,0,0,1,0,0,0,1
BUFANO PARK,0,0,0,1,0,0,0,1
MARBLE HILL PLAYGROUND,0,0,1,0,0,0,0,1
BURNS PLAYGROUND,0,0,0,1,0,0,0,1
TAYLOR PLAYGROUND,0,0,0,1,0,0,0,1
OWEN F. DOLEN PARK,0,0,1,0,0,0,0,1
