PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
VAN CORTLANDT PARK,0,0,0,1,0,1,0,2
BRONX PARK,0,1,7,0,0,1,0,9
BRONX RIVER PARKWAY,0,0,1,1,0,0,0,2
SOUNDVIEW PARK,0,1,1,0,0,0,0,2
CROTONA PARK,0,0,1,7,0,1,0,9
CLAREMONT PARK,0,0,2,0,0,0,0,2
SETON FALLS PARK,0,0,0,1,0,0,0,1
ST. MARY'S PARK BRONX,0,0,2,1,0,1,0,4
FRANZ SIGEL PARK,0,0,3,0,0,0,0,3
MULLALY PARK,0,0,1,0,0,0,0,1
AQUEDUCT WALK,0,0,1,2,0,0,0,3
STARLIGHT PARK,0,0,0,1,0,0,0,1
ST. JAMES PARK,0,0,0,1,0,0,0,1
EWEN PARK,0,0,1,0,0,0,0,1
JOYCE KILMER PARK,0,0,1,0,0,0,0,1
DEVOE PARK,0,0,2,3,0,0,0,5
RICHMAN (ECHO) PARK,0,1,0,1,0,0,0,2
BAILEY PLAYGROUND,0,0,0,0,0,1,0,1
BATHGATE PLAYGROUND,0,0,1,1,0,1,0,3
STORY PLAYGROUND,0,0,0,1,0,0,0,1
SEDGWICK PLAYGROUND,0,0,1,0,0,1,0,2
CASERTA PLAYGROUND,0,0,0,1,0,0,0,1
CAPTAIN RIVERA PLAYGROUND,0,0,0,2,0,0,0,2
CLARK PLAYGROUND,0,0,0,2,0,0,0,2
