PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,1,0,0,0,0,1
VAN CORTLANDT PARK,0,0,0,1,0,0,0,1
BRONX PARK,0,0,4,0,0,0,0,4
BRONX RIVER PARKWAY,0,0,1,0,0,0,0,1
CROTONA PARK,0,0,3,0,1,1,1,6
PELHAM PARKWAY,0,0,1,0,0,0,0,1
CLAREMONT PARK,0,0,3,0,0,0,0,3
ST. MARY'S PARK BRONX,0,0,1,0,0,1,0,2
WILLIAMSBRIDGE OVAL,0,0,3,0,0,0,0,3
FRANZ SIGEL PARK,0,0,1,0,0,0,0,1
HARRIS PARK,0,0,0,0,0,1,0,1
AQUEDUCT WALK,0,0,1,0,0,0,0,1
ST. JAMES PARK,0,0,0,0,0,1,0,1
RAINEY PARK BRONX,0,0,0,1,0,0,0,1
JOYCE KILMER PARK,0,0,1,0,0,0,0,1
CONCRETE PLANT PARK,0,0,1,0,0,0,0,1
RICHMAN (ECHO) PARK,0,0,1,0,0,0,0,1
POE PARK,0,0,0,0,0,1,0,1
BELMONT PLAYGROUND BRONX,0,0,1,0,0,0,0,1
ADMIRAL FARRAGUT PLAYGROUND,0,0,1,0,0,0,0,1
MOTT PLAYGROUND,0,0,0,2,0,0,0,2
ROCK GARDEN PARK,0,0,0,0,1,0,0,1
WEBSTER PLAYGROUND,0,0,0,1,0,0,0,1
CLARK PLAYGROUND,0,0,0,1,0,0,0,1
HUNTS POINT PLAYGROUND,0,0,0,0,1,0,0,1
GUN HILL PLAYGROUND,0,0,1,0,0,0,0,1
MOUNT HOPE PLAYGROUND,0,0,1,0,0,0,0,1
HILTON WHITE PLAYGROUND,0,1,0,0,0,0,0,1
HORSESHOE PLAYGROUND,0,0,1,0,0,0,0,1
