PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,0,0,0,1,0,1
BRONX PARK,0,0,1,0,0,0,0,1
CROTONA PARK,0,0,1,0,0,0,0,1
MOSHOLU PARKWAY,0,0,1,0,0,0,0,1
MACOMBS DAM PARK,0,0,0,1,0,1,0,2
CLAREMONT PARK,0,0,1,0,0,0,0,1
ST. MARY'S PARK BRONX,0,0,2,0,0,1,0,3
WILLIAMSBRIDGE OVAL,0,0,2,1,0,0,0,3
FRANZ SIGEL PARK,0,0,0,1,0,0,0,1
ST. JAMES PARK,0,0,2,1,0,0,0,3
RAINEY PARK BRONX,0,0,1,0,0,0,0,1
JOYCE KILMER PARK,0,0,3,0,0,0,0,3
NOBLE PLAYGROUND,0,0,1,0,0,1,0,2
LORETO PLAYGROUND,0,0,1,0,0,0,0,1
ARCILLA PLAYGROUND,0,0,1,0,0,0,0,1
WASHINGTON PARK BRONX,0,0,1,0,0,0,0,1
