PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
VAN CORTLANDT PARK,0,0,0,1,0,2,0,3
BRONX PARK,0,1,0,0,0,0,0,1
SOUNDVIEW PARK,0,0,1,2,0,2,0,5
CROTONA PARK,0,0,4,0,0,1,0,5
MACOMBS DAM PARK,0,0,0,0,0,2,0,2
CLAREMONT PARK,0,0,1,0,0,0,0,1
ST. MARY'S PARK BRONX,0,0,3,0,0,1,0,4
WILLIAMSBRIDGE OVAL,0,0,1,0,0,0,0,1
FRANZ SIGEL PARK,0,0,1,1,0,0,0,2
HARRIS PARK,0,0,0,0,0,0,1,1
MULLALY PARK,0,0,2,0,0,0,0,2
AQUEDUCT WALK,0,0,1,0,0,0,0,1
STARLIGHT PARK,0,0,1,0,0,0,0,1
ST. JAMES PARK,0,0,0,2,0,1,0,3
HENRY HUDSON PARK,0,0,1,0,0,0,0,1
JOYCE KILMER PARK,0,0,1,0,0,0,0,1
CONCRETE PLANT PARK,0,0,1,0,0,0,0,1
NOBLE PLAYGROUND,0,0,0,1,0,0,0,1
MARBLE HILL PLAYGROUND,0,0,1,0,0,0,0,1
PEOPLE'S PARK,0,0,0,2,0,0,0,2
LOZADA PLAYGROUND,1,0,0,0,0,0,0,1
CAPTAIN RIVERA PLAYGROUND,0,0,1,0,0,0,0,1
HIGHBRIDGE PARK BRONX SIDE,0,0,0,0,0,1,0,1
HUNTS POINT PLAYGROUND,0,0,0,1,0,0,0,1
DAWSON PLAYGROUND,0,0,0,0,0,1,0,1
RIVER AVENUE PARKS,0,0,0,0,0,1,0,1
GOBLE PLAYGROUND,0,0,1,0,0,0,0,1
