PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
AQUEDUCT WALK,0,0,1,1,1,0,0,3
ARCILLA PLAYGROUND,0,0,0,1,0,0,0,1
BRONX PARK,0,1,1,0,0,1,1,4
BRONX RIVER PARKWAY,0,0,2,1,0,1,0,4
CLAREMONT PARK,0,0,4,3,0,1,0,8
CLARK PLAYGROUND,0,0,0,1,0,0,0,1
CONCRETE PLANT PARK,0,0,0,1,0,0,0,1
CROTONA PARK,1,0,3,1,1,0,0,6
DEVOE PARK,0,0,0,1,0,1,0,2
FERRY POINT PARK,0,0,0,0,0,1,0,1
GRANT PARK,0,0,1,0,0,1,0,2
HARRIS PARK,0,0,0,0,0,1,0,1
HAVEMEYER PLAYGROUND,0,0,1,0,0,0,0,1
HIGHBRIDGE PARK BRONX SIDE,0,0,0,1,0,0,0,1
HUNTS POINT PLAYGROUND,0,0,0,1,0,0,0,1
JULIO CARBALLO FIELDS,0,0,1,0,0,0,0,1
LYONS SQUARE PLAYGROUND,0,0,0,1,0,0,0,1
MACOMBS DAM PARK,0,0,1,1,0,2,0,4
MAGENTA PLAYGROUND,0,0,1,0,0,0,0,1
MATTHEWS MULINER PLAYGROUND,0,0,1,0,0,0,0,1
MILL POND PARK,0,0,0,1,0,0,0,1
MOTT PLAYGROUND,0,0,0,2,0,0,0,2
MULLALY PARK,0,0,1,0,0,0,0,1
PELHAM BAY PARK,0,0,0,1,0,4,0,5
RAILROAD PARK BRONX,0,0,1,0,0,0,0,1
RAINEY PARK BRONX,0,0,0,3,0,0,0,3
RICHMAN (ECHO) PARK,0,1,1,1,0,0,0,3
SETON FALLS PARK,0,0,0,1,0,0,0,1
SOUNDVIEW PARK,0,0,1,0,0,1,0,2
ST. JAMES PARK,0,0,1,0,0,0,0,1
ST. MARY'S PARK BRONX,0,0,2,1,0,0,0,3
STARLIGHT PARK,0,0,1,0,0,0,0,1
TREMONT PARK,0,0,0,1,0,0,0,1
VAN CORTLANDT PARK,0,0,0,2,1,2,0,5
VIDALIA PARK,0,0,0,0,0,1,0,1
VIRGINIA PARK,0,0,1,0,0,0,0,1
WATSON GLEASON PLAYGROUND,0,0,0,0,0,1,0,1
WILLIAMSBRIDGE OVAL,0,0,0,1,0,1,0,2
