PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
BRONX PARK,0,0,3,0,0,0,0,3
SOUNDVIEW PARK,0,0,3,0,0,1,0,4
CROTONA PARK,0,0,1,0,0,0,0,1
PUGSLEY CREEK PARK,0,0,1,0,0,0,0,1
ST. MARY'S PARK BRONX,0,0,2,0,0,1,0,3
WILLIAMSBRIDGE OVAL,0,0,2,0,0,0,0,2
HARRIS PARK,0,0,0,0,0,1,0,1
MULLALY PARK,0,0,1,0,0,0,0,1
AQUEDUCT WALK,0,0,1,1,0,0,0,2
STARLIGHT PARK,0,0,1,0,0,0,0,1
HAFFEN PARK,0,0,1,0,0,0,0,1
JOYCE KILMER PARK,0,0,0,1,0,0,0,1
BEHAGEN PLAYGROUND,0,0,1,0,0,0,0,1
BELMONT PLAYGROUND BRONX,0,0,0,1,0,0,0,1
MAZZEI PLAYGROUND,0,0,1,0,0,0,0,1
AGNES HAYWOOD PLAYGROUND,0,0,0,1,0,0,0,1
ZIMMERMAN PLAYGROUND,0,0,0,1,0,0,0,1
FOX PLAYGROUND BRONX,0,0,1,0,0,0,0,1
PARKSIDE PLAYGROUND BRONX,0,0,1,0,0,0,0,1
RIVER AVENUE PARKS,0,0,0,1,0,0,0,1
FIELD OF DREAMS PARK,0,0,1,0,0,0,0,1
