PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
VAN CORTLANDT PARK,0,0,0,0.0,1,0,0,1
CROTONA PARK,0,1,1,0.0,0,0,0,2
MACOMBS DAM PARK,0,0,0,0.0,0,1,0,1
CLAREMONT PARK,0,0,0,1.0,0,0,0,1
WILLIAMSBRIDGE OVAL,0,0,0,2.0,0,0,0,2
MILL POND PARK,0,0,0,0.0,0,0,1,1
MULLALY PARK,0,0,1,0.0,0,0,0,1
ST. JAMES PARK,0,0,2,0.0,0,0,0,2
CONCRETE PLANT PARK,0,0,2,0.0,0,0,0,2
BEHAGEN PLAYGROUND,0,0,1,0.0,0,0,0,1
WATSON GLEASON PLAYGROUND,0,0,1,0.0,0,0,0,1
POE PARK,0,0,0,2.0,0,0,0,2
BELMONT PLAYGROUND BRONX,0,0,1,0.0,0,0,0,1
DUNBAR PLAYGROUND,0,0,1,0.0,0,0,0,1
MOTT PLAYGROUND,0,0,1,0.0,0,0,0,1
ROCK GARDEN PARK,0,0,0,0.0,0,1,0,1
