PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,1,0,0,0,1,0,2
VAN CORTLANDT PARK,0,0,1,0,1,1,0,3
BRONX PARK,0,0,2,0,0,2,0,4
BRONX RIVER PARKWAY,0,0,1,0,0,1,0,2
SOUNDVIEW PARK,0,0,0,1,0,0,0,1
CROTONA PARK,0,0,1,5,1,7,1,15
PUGSLEY CREEK PARK,0,0,2,0,0,0,0,2
MOSHOLU PARKWAY,0,0,3,0,0,0,0,3
MACOMBS DAM PARK,0,0,2,0,0,3,0,5
CLAREMONT PARK,0,0,1,1,0,1,0,3
SETON FALLS PARK,0,0,1,0,0,0,0,1
ST. MARY'S PARK BRONX,0,1,3,2,0,0,0,6
WILLIAMSBRIDGE OVAL,0,0,3,1,0,2,0,6
FRANZ SIGEL PARK,0,0,0,1,0,0,0,1
HARRIS PARK,0,0,0,1,0,0,0,1
MULLALY PARK,0,0,0,1,0,1,0,2
TREMONT PARK,0,0,0,0,0,1,0,1
AQUEDUCT WALK,0,0,2,0,0,0,0,2
SETON PARK,0,0,1,0,0,0,0,1
ST. JAMES PARK,0,0,0,1,0,1,0,2
RAINEY PARK BRONX,0,0,1,1,0,0,0,2
JOYCE KILMER PARK,0,1,0,2,0,0,0,3
DEVOE PARK,0,0,0,1,0,0,0,1
QUARRY BALLFIELDS,0,0,1,0,0,0,0,1
RICHMAN (ECHO) PARK,0,0,2,1,0,1,0,4
FORDHAM LANDING PLAYGROUND,0,0,0,0,0,1,0,1
BEHAGEN PLAYGROUND,0,0,1,0,0,0,0,1
WATSON GLEASON PLAYGROUND,0,0,3,1,0,2,0,6
NOBLE PLAYGROUND,0,0,0,1,0,0,0,1
FORT INDEPENDENCE PLAYGROUND,0,0,0,1,0,0,0,1
P.O. SERRANO PLAYGROUND,0,0,0,0,0,1,0,1
POE PARK,0,0,0,0,0,1,0,1
PULASKI PARK,0,0,0,0,0,1,0,1
PEOPLE'S PARK,0,0,0,0,0,1,0,1
PLAYGROUND 174,0,0,0,1,0,0,0,1
ZIMMERMAN PLAYGROUND,0,0,0,1,0,0,0,1
PONTIAC PLAYGROUND,0,0,1,0,0,0,0,1
SLATTERY PLAYGROUND,0,0,0,1,0,0,0,1
HIGHBRIDGE PARK BRONX SIDE,0,0,0,0,0,1,0,1
RAILROAD PARK BRONX,0,0,0,0,0,1,0,1
MOUNT HOPE PLAYGROUND,0,1,0,0,0,0,0,1
HUNTS POINT RIVERSIDE PARK,0,0,0,1,0,0,0,1
VAN NEST PARK,0,0,0,1,0,1,0,2
