PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
VAN CORTLANDT PARK,0,0,0,0,1,0,0,1
BRONX PARK,0,0,4,1,0,1,0,6
BRONX RIVER PARKWAY,0,1,0,0,0,0,0,1
SOUNDVIEW PARK,0,0,0,0,0,1,0,1
CROTONA PARK,0,0,1,1,0,0,0,2
PELHAM PARKWAY,0,0,1,0,0,0,0,1
MOSHOLU PARKWAY,0,0,0,0,0,1,0,1
MACOMBS DAM PARK,0,0,0,0,0,2,0,2
CLAREMONT PARK,0,0,5,0,0,0,0,5
ST. MARY'S PARK BRONX,0,0,2,0,0,2,0,4
WILLIAMSBRIDGE OVAL,0,0,0,1,0,0,0,1
FRANZ SIGEL PARK,0,0,4,0,0,0,0,4
MULLALY PARK,0,0,2,1,0,1,0,4
TREMONT PARK,0,0,0,0,0,1,0,1
AQUEDUCT WALK,0,0,0,1,0,0,0,1
ST. JAMES PARK,0,0,0,3,0,0,0,3
RICHMAN (ECHO) PARK,0,0,1,0,0,0,0,1
UNIVERSITY WOODS,0,0,1,0,0,0,0,1
MERRIAM PLAYGROUND,0,0,1,0,0,0,0,1
BELMONT PLAYGROUND BRONX,0,0,1,0,0,0,0,1
CEDAR PLAYGROUND,0,0,1,0,0,0,0,1
PATTERSON PLAYGROUND,0,0,0,1,0,0,0,1
SLATTERY PLAYGROUND,0,0,1,0,0,0,0,1
RAILROAD PARK BRONX,0,0,0,1,0,0,0,1
CLARK PLAYGROUND,0,0,0,1,0,0,0,1
GUN HILL PLAYGROUND,0,0,1,0,0,0,0,1
MOUNT HOPE PLAYGROUND,0,0,0,0,0,1,0,1
