PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,1,1,0,2,1,5
VAN CORTLANDT PARK,0,0,1,3,0,0,0,4
BRONX PARK,0,1,1,0,0,1,0,3
BRONX RIVER PARKWAY,0,0,1,1,0,0,0,2
SOUNDVIEW PARK,0,0,0,0,0,3,0,3
CROTONA PARK,0,0,2,1,0,3,0,6
PUGSLEY CREEK PARK,0,0,0,1,0,0,0,1
MACOMBS DAM PARK,0,0,0,0,0,2,0,2
CLAREMONT PARK,0,0,1,0,0,1,0,2
ST. MARY'S PARK BRONX,0,0,2,0,0,3,0,5
WILLIAMSBRIDGE OVAL,0,0,2,1,0,0,0,3
FRANZ SIGEL PARK,0,0,1,1,0,0,0,2
MULLALY PARK,0,0,1,0,0,0,0,1
TREMONT PARK,0,0,2,0,0,0,0,2
AQUEDUCT WALK,0,0,3,0,0,1,0,4
STARLIGHT PARK,0,0,0,1,0,2,0,3
ST. JAMES PARK,0,0,1,0,0,0,0,1
BARRETTO POINT PARK,1,0,0,0,0,1,0,2
HAFFEN PARK,0,0,0,1,0,0,0,1
RAINEY PARK BRONX,0,0,1,0,0,0,0,1
JOYCE KILMER PARK,0,0,2,1,0,1,0,4
DEVOE PARK,0,0,0,1,0,0,0,1
RICHMAN (ECHO) PARK,0,0,0,1,0,0,0,1
JULIO CARBALLO FIELDS,0,0,1,0,0,0,0,1
WATSON GLEASON PLAYGROUND,0,0,0,0,0,1,0,1
NOBLE PLAYGROUND,0,0,0,0,0,1,0,1
MERRIAM PLAYGROUND,0,0,2,0,0,0,0,2
RIVERDALE PLAYGROUND,0,0,0,0,0,1,0,1
CEDAR PLAYGROUND,0,0,0,1,0,0,0,1
PATTERSON PLAYGROUND,0,0,0,0,0,1,0,1
MARBLE HILL PLAYGROUND,0,0,1,0,0,0,0,1
PEOPLE'S PARK,0,0,0,1,0,0,0,1
ARCILLA PLAYGROUND,0,0,1,0,0,1,0,2
NELSON PLAYGROUND,0,0,0,2,0,0,0,2
UNNAMED PARK ON MELROSE AVENUE,0,0,0,0,1,0,0,1
MILLBROOK PLAYGROUND,0,0,0,0,0,1,0,1
GOUVERNEUR PLAYGROUND,0,0,1,1,0,0,0,2
SAW MILL PLAYGROUND,0,0,0,0,1,0,0,1
VIRGINIA PARK,0,0,0,1,0,0,0,1
HAVILAND PLAYGROUND,0,0,0,0,0,2,0,2
FLYNN PLAYGROUND,0,0,0,0,0,1,0,1
MOUNT HOPE PLAYGROUND,0,0,0,1,0,0,0,1
FAIRMOUNT PLAYGROUND,0,0,1,0,0,0,0,1
MORRIS GARDEN,0,0,1,0,0,0,0,1
MOSHOLU PLAYGROUND,0,0,1,0,0,2,0,3
