PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
VAN CORTLANDT PARK,0,0,1,0,0,1,0,2
BRONX PARK,0,0,1,0,0,0,0,1
SOUNDVIEW PARK,0,0,0,3,0,1,0,4
CROTONA PARK,0,0,5,0,0,0,0,5
PELHAM PARKWAY,0,0,1,0,0,0,0,1
MACOMBS DAM PARK,0,0,1,0,0,0,0,1
CLAREMONT PARK,0,0,1,0,0,1,0,2
SETON FALLS PARK,0,0,1,0,0,0,0,1
ST. MARY'S PARK BRONX,0,0,3,1,0,0,0,4
WILLIAMSBRIDGE OVAL,0,0,1,0,0,1,0,2
MULLALY PARK,0,0,1,0,0,0,0,1
TREMONT PARK,0,0,2,0,0,0,0,2
AQUEDUCT WALK,0,0,2,0,0,1,0,3
ST. JAMES PARK,0,0,1,1,0,2,0,4
CASTLE HILL PARK,0,0,1,0,0,0,0,1
RAINEY PARK BRONX,0,0,0,1,0,0,0,1
JOYCE KILMER PARK,0,0,0,0,1,0,0,1
CONCRETE PLANT PARK,0,1,0,0,0,0,0,1
DEVOE PARK,0,0,1,0,0,0,0,1
MERRIAM PLAYGROUND,0,0,1,0,0,0,0,1
POE PARK,0,0,0,0,0,1,0,1
VIDALIA PARK,0,0,1,0,0,0,0,1
WILLIS PLAYGROUND,0,0,1,0,0,0,0,1
CEDAR PLAYGROUND,0,0,0,1,0,0,0,1
BRUCKNER PLAYGROUND,0,0,1,0,0,0,0,1
WEBSTER PLAYGROUND,0,0,0,0,0,1,0,1
MOUNT HOPE PLAYGROUND,0,0,1,0,0,0,0,1
VIRGINIA PLAYGROUND,0,0,0,0,0,1,0,1
