PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
PELHAM BAY PARK,0,0,0,0,1,1,0,2
VAN CORTLANDT PARK,0,0,2,3,3,3,0,11
BRONX PARK,0,0,1,0,0,2,0,3
FERRY POINT PARK,0,0,0,1,0,1,0,2
SOUNDVIEW PARK,0,1,0,0,0,1,0,2
CROTONA PARK,0,0,3,0,1,5,1,10
PUGSLEY CREEK PARK,0,0,1,1,0,0,0,2
MOSHOLU PARKWAY,0,0,1,0,0,0,0,1
MACOMBS DAM PARK,0,0,0,0,0,5,0,5
CLAREMONT PARK,0,0,2,0,0,0,0,2
SETON FALLS PARK,0,0,1,1,0,0,0,2
ST. MARY'S PARK BRONX,0,0,0,0,0,3,0,3
WILLIAMSBRIDGE OVAL,0,0,0,0,0,2,0,2
MULLALY PARK,0,0,2,3,0,1,0,6
ST. JAMES PARK,0,0,2,3,0,1,0,6
HAFFEN PARK,0,0,0,1,0,0,0,1
CROTONA PARKWAY MALLS,0,0,0,0,0,1,0,1
CITY ISLAND WETLANDS,0,0,0,1,0,0,0,1
EWEN PARK,0,0,2,0,0,0,0,2
RAINEY PARK BRONX,0,0,1,1,0,1,0,3
JOYCE KILMER PARK,0,0,2,0,0,0,0,2
DEVOE PARK,0,0,0,1,0,0,0,1
WASHINGTON'S WALK,0,0,0,1,0,0,0,1
QUARRY BALLFIELDS,0,0,1,0,0,0,0,1
BEHAGEN PLAYGROUND,0,0,1,0,0,0,0,1
POE PARK,0,0,1,0,0,0,0,1
HARDING PARK,0,0,0,0,0,1,0,1
BUFANO PARK,0,0,0,0,0,1,0,1
WILLIS PLAYGROUND,0,0,0,1,0,0,0,1
LYONS SQUARE PLAYGROUND,0,0,0,1,0,1,0,2
AGNES HAYWOOD PLAYGROUND,0,0,1,0,0,0,0,1
SEDGWICK PLAYGROUND,0,0,0,0,0,1,0,1
RIVER AVENUE PARKS,0,0,0,0,0,1,0,1
FAIRMOUNT PLAYGROUND,0,0,0,0,0,1,0,1
HORSESHOE PLAYGROUND,0,0,0,0,0,1,0,1
CAPTAIN RIVERA PLAYGROUND,0,0,0,1,0,0,0,1
ZIMMERMAN PLAYGROUND,0,0,0,0,0,1,0,1
HUNTS POINT PLAYGROUND,0,0,0,0,1,1,0,2
DAWSON PLAYGROUND,0,0,2,0,0,0,0,2
