PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
ALLERTON PLAYGROUND,0,0,1,0.0,0,0,0,1
AQUEDUCT WALK,0,0,1,0.0,0,1,0,2
ARCILLA PLAYGROUND,0,0,1,0.0,0,0,0,1
BEHAGEN PLAYGROUND,0,0,2,0.0,0,0,0,2
BELMONT PLAYGROUND BRONX,0,0,1,0.0,0,0,0,1
BRIDGE PLAYGROUND,0,0,1,0.0,0,0,0,1
BRONX PARK,1,0,1,3.0,0,5,0,10
CAPTAIN RIVERA PLAYGROUND,0,0,1,0.0,0,0,0,1
CASERTA PLAYGROUND,0,0,0,1.0,0,0,0,1
CLAREMONT PARK,0,0,8,11.0,0,3,0,22
CONCRETE PLANT PARK,0,1,3,0.0,0,0,0,4
CROTONA PARK,0,2,15,6.0,0,4,1,28
DAWSON PLAYGROUND,0,0,1,0.0,0,0,0,1
DEVOE PARK,1,0,1,3.0,0,0,0,5
DUNBAR PLAYGROUND,0,0,1,0.0,0,0,0,1
EWEN PARK,0,0,1,0.0,0,0,0,1
FERRY POINT PARK,0,0,1,2.0,0,1,0,4
FLYNN PLAYGROUND,0,0,0,0.0,0,1,0,1
FRANZ SIGEL PARK,0,0,1,6.0,0,1,0,8
GALILEO PLAYGROUND,0,0,0,1.0,0,0,0,1
GOUVERNEUR PLAYGROUND,0,0,1,0.0,0,0,0,1
GRANT PARK,0,0,1,0.0,0,0,0,1
HAFFEN PARK,0,0,1,1.0,0,0,0,2
HARRIS PARK,0,0,0,0.0,0,1,0,1
JOYCE KILMER PARK,0,0,1,1.0,0,1,0,3
MACOMBS DAM PARK,0,0,5,0.0,0,14,0,19
MAGENTA PLAYGROUND,0,0,2,0.0,0,0,0,2
MERRIAM PLAYGROUND,0,0,1,0.0,0,0,0,1
MILL POND PARK,0,0,0,0.0,0,0,1,1
MOSHOLU PARKWAY,0,0,2,0.0,0,0,0,2
MOTT PLAYGROUND,0,0,1,0.0,0,0,0,1
MOUNT HOPE PLAYGROUND,0,0,1,0.0,0,0,0,1
MULLALY PARK,0,0,9,3.0,0,6,0,18
NOBLE PLAYGROUND,0,0,0,0.0,0,1,0,1
PELHAM BAY PARK,0,0,2,0.0,0,1,0,3
POE PARK,0,0,0,2.0,1,0,0,3
PONTIAC PLAYGROUND,0,0,1,0.0,0,0,0,1
QUARRY BALLFIELDS,0,0,1,0.0,0,0,0,1
RAINEY PARK BRONX,0,0,2,5.0,0,0,0,7
RICHMAN (ECHO) PARK,0,0,1,0.0,0,0,0,1
RIENZI PLAYGROUND,0,0,0,1.0,0,1,0,2
RIVER AVENUE PARKS,0,0,0,0.0,0,1,0,1
ROCK GARDEN PARK,0,0,0,0.0,0,1,0,1
SETON FALLS PARK,0,0,0,0.0,0,1,0,1
SETON PARK,0,0,1,0.0,0,0,0,1
SLATTERY PLAYGROUND,0,0,0,0.0,0,2,0,2
SOUNDVIEW PARK,1,0,2,0.0,0,2,0,5
SPACE TIME PLAYGROUND,1,0,0,2.0,0,0,0,3
SPUYTEN DUYVIL PLAYGROUND,0,0,0,0.0,0,1,0,1
ST. JAMES PARK,1,0,2,3.0,0,1,0,7
ST. MARY'S PARK BRONX,0,0,4,1.0,2,1,0,8
STARLIGHT PARK,0,0,1,0.0,0,0,0,1
STARS & STRIPES PLAYGROUND,0,0,1,0.0,0,0,0,1
THE PEARLY GATES,0,0,0,0.0,0,1,0,1
TIFFANY PLAYGROUND,0,0,1,0.0,0,0,0,1
VAN CORTLANDT PARK,0,1,3,1.0,1,4,0,10
VINMONT VETERAN PARK,0,0,0,0.0,0,1,0,1
WATSON GLEASON PLAYGROUND,0,0,3,1.0,0,3,0,7
WILLIAMSBRIDGE OVAL,0,0,9,6.0,0,2,0,17
WILLIAMSBRIDGE SQUARE,0,1,0,0.0,0,0,0,1
WILLIS PLAYGROUND,0,0,1,0.0,0,0,0,1
ZIMMERMAN PLAYGROUND,0,0,1,0.0,0,0,0,1
