PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
ADMIRAL FARRAGUT PLAYGROUND,0,0,1,0,0,0,0,1
AQUEDUCT WALK,0,0,4,0,0,1,0,5
ARCILLA PLAYGROUND,0,0,1,0,0,1,0,2
BARRETTO POINT PARK,1,0,0,0,0,1,0,2
BEHAGEN PLAYGROUND,0,0,0,0,0,1,0,1
BELMONT PLAYGROUND BRONX,0,0,2,0,0,0,0,2
BRONX PARK,0,1,14,3,0,2,0,20
BRONX RIVER PARKWAY,0,0,3,1,0,0,0,4
CAPTAIN RIVERA PLAYGROUND,0,0,1,0,0,0,0,1
CEDAR PLAYGROUND,0,0,0,1,0,0,0,1
CLAREMONT PARK,0,0,4,2,0,1,0,7
CLARK PLAYGROUND,0,0,0,2,0,0,0,2
CONCRETE PLANT PARK,0,0,2,0,0,0,0,2
CROTONA PARK,0,0,9,2,2,7,1,21
DEVOE PARK,0,0,2,2,0,0,0,4
EWEN PARK,0,0,1,0,0,0,0,1
FAIRMOUNT PLAYGROUND,0,0,1,0,0,0,0,1
FLYNN PLAYGROUND,0,0,0,0,0,1,0,1
FORT INDEPENDENCE PLAYGROUND,0,0,0,1,0,0,0,1
FRANZ SIGEL PARK,0,0,5,1,0,0,0,6
GIVAN SQUARE,0,0,0,1,0,0,0,1
GOUVERNEUR PLAYGROUND,0,0,1,1,0,0,0,2
GUN HILL PLAYGROUND,0,0,1,0,0,0,0,1
HAFFEN PARK,0,0,0,1,0,0,0,1
HALF-NELSON PLAYGROUND,0,0,0,0,0,1,0,1
HARRIS PARK,0,0,0,0,0,2,0,2
HAVILAND PLAYGROUND,0,0,0,0,0,2,0,2
HILTON WHITE PLAYGROUND,0,1,0,0,0,0,0,1
HORSESHOE PLAYGROUND,0,0,1,0,0,0,0,1
HUNTS POINT PLAYGROUND,0,0,0,0,1,0,0,1
JOYCE KILMER PARK,0,0,7,1,0,1,0,9
JULIO CARBALLO FIELDS,0,0,1,0,0,0,0,1
LYONS SQUARE PLAYGROUND,0,0,0,0,0,1,0,1
MACOMBS DAM PARK,0,0,5,0,0,3,0,8
MARBLE HILL PLAYGROUND,0,0,1,0,0,0,0,1
MERRIAM PLAYGROUND,0,0,2,0,0,0,0,2
MILLBROOK PLAYGROUND,0,0,0,0,0,1,0,1
MORRIS GARDEN,0,0,1,0,0,0,0,1
MOSHOLU PLAYGROUND,0,0,2,0,0,2,0,4
MOTT PLAYGROUND,0,0,0,2,0,0,0,2
MOUNT HOPE PLAYGROUND,0,0,1,1,0,0,0,2
MULLALY PARK,0,0,3,1,0,0,0,4
NELSON PLAYGROUND,0,0,0,4,0,0,0,4
NOBLE PLAYGROUND,0,0,0,0,0,1,0,1
PATTERSON PLAYGROUND,0,0,0,0,0,1,0,1
PELHAM BAY PARK,0,0,4,3,0,2,1,10
PELHAM PARKWAY,0,0,1,0,0,0,0,1
PEOPLE'S PARK,0,0,0,1,0,0,0,1
PLIMPTON PLAYGROUND,0,0,1,0,0,0,0,1
POE PARK,0,0,0,1,0,1,0,2
PUGSLEY CREEK PARK,0,0,0,1,0,0,0,1
PULASKI PARK,0,0,0,1,0,0,0,1
QUARRY BALLFIELDS,0,0,0,0,0,1,0,1
RAINEY PARK BRONX,1,0,1,1,0,0,0,3
RICHMAN (ECHO) PARK,0,0,3,1,0,0,0,4
RIVERDALE PLAYGROUND,0,0,0,0,0,1,0,1
ROCK GARDEN PARK,0,0,0,0,1,0,0,1
SAW MILL PLAYGROUND,0,0,0,0,1,0,0,1
SLATTERY PLAYGROUND,0,0,0,1,0,0,0,1
SOUNDVIEW PARK,1,0,0,1,0,3,0,5
ST. JAMES PARK,0,0,2,0,0,2,0,4
ST. MARY'S PARK BRONX,0,0,5,1,0,4,0,10
STARLIGHT PARK,0,0,1,1,0,2,0,4
STORY PLAYGROUND,0,0,0,1,0,0,0,1
TREMONT PARK,0,0,2,0,0,1,0,3
UNNAMED PARK ON MELROSE AVENUE,0,0,0,0,1,0,0,1
VAN CORTLANDT PARK,0,0,2,4,0,0,0,6
VIDALIA PARK,0,0,1,1,0,0,0,2
VIRGINIA PARK,0,0,0,1,0,0,0,1
VIRGINIA PLAYGROUND,0,0,0,0,0,1,0,1
WATSON GLEASON PLAYGROUND,0,0,0,0,0,1,0,1
WEBSTER PLAYGROUND,0,0,0,1,0,0,0,1
WILLIAMSBRIDGE OVAL,0,0,11,2,1,1,0,15
