PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
AGNES HAYWOOD PLAYGROUND,0,0,0,1,0,0,0,1
AQUEDUCT WALK,1,1,6,5,0,1,0,14
BATHGATE PLAYGROUND,0,0,0,1,0,0,0,1
BEHAGEN PLAYGROUND,0,0,1,0,0,0,0,1
BELMONT PLAYGROUND BRONX,0,0,0,1,0,0,0,1
BRONX PARK,1,0,13,6,0,3,0,23
BRONX RIVER PARKWAY,0,0,0,1,0,0,0,1
CASTLE HILL PLAYGROUND,0,1,0,0,0,0,0,1
CLAREMONT PARK,1,0,4,2,0,2,0,9
CO-OP CITY FIELD,0,0,0,1,0,0,0,1
CONCRETE PLANT PARK,0,0,5,0,0,0,0,5
CROTONA PARK,0,1,7,1,2,1,0,12
DEVOE PARK,0,0,1,4,0,0,0,5
EDENWALD PLAYGROUND,0,0,0,1,0,0,0,1
ESTELLA DIGGS PARK,0,0,0,1,0,0,0,1
FERRY POINT PARK,0,0,0,1,0,1,0,2
FIELD OF DREAMS PARK,0,0,1,0,0,0,0,1
FOX PLAYGROUND BRONX,0,0,1,0,0,0,0,1
FRANZ SIGEL PARK,0,0,3,2,0,0,0,5
GRANT PARK,0,0,0,2,0,0,0,2
HAFFEN PARK,0,0,1,1,0,0,0,2
HARRIS PARK,0,0,0,0,0,1,1,2
HUNTS POINT PLAYGROUND,0,0,0,1,0,0,0,1
JOYCE KILMER PARK,0,0,2,1,0,0,0,3
LORETO PLAYGROUND,0,0,1,0,0,0,0,1
MACOMBS DAM PARK,0,1,0,2,0,1,0,4
MAZZEI PLAYGROUND,0,0,1,0,0,0,0,1
MOSHOLU PARKWAY,0,0,2,0,0,0,0,2
MOUNT HOPE PLAYGROUND,0,0,1,0,0,0,0,1
MULLALY PARK,0,0,2,0,0,0,0,2
NOBLE PLAYGROUND,0,0,0,1,0,0,0,1
PARKSIDE PLAYGROUND BRONX,0,0,1,0,0,0,0,1
PATTERSON PLAYGROUND,0,0,0,1,0,0,0,1
PELHAM BAY PARK,0,0,2,2,0,3,0,7
PELHAM PARKWAY,0,0,1,0,0,0,0,1
POE PARK,0,0,0,0,0,1,0,1
PUGSLEY CREEK PARK,0,0,4,1,0,0,0,5
RAINEY PARK BRONX,0,0,0,2,0,1,0,3
RICHMAN (ECHO) PARK,0,0,1,1,0,0,0,2
RIVER AVENUE PARKS,0,0,0,1,0,0,0,1
SAW MILL PLAYGROUND,0,0,0,1,0,0,0,1
SOUNDVIEW PARK,0,0,9,1,0,1,0,11
ST. JAMES PARK,0,0,1,3,0,1,0,5
ST. MARY'S PARK BRONX,0,0,2,12,0,1,0,15
STARLIGHT PARK,0,0,1,3,0,0,0,4
STORY PLAYGROUND,0,0,1,0,0,0,0,1
TREMONT PARK,0,0,1,1,0,2,0,4
UNNAMED PARK ON MELROSE AVENUE,0,0,0,0,1,0,0,1
VAN CORTLANDT PARK,0,0,1,2,0,4,0,7
VIRGINIA PARK,0,0,0,0,0,1,0,1
WALTON PARK,0,0,0,0,0,1,0,1
WILLIAMSBRIDGE OVAL,0,0,2,0,0,0,0,2
ZIMMERMAN PLAYGROUND,0,0,0,1,0,0,0,1
