PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
AGNES HAYWOOD PLAYGROUND,0,0,1,0,0,0,0,1
AQUEDUCT WALK,0,0,0,2,0,0,0,2
ARCILLA PLAYGROUND,0,0,0,0,0,1,0,1
BARRETTO POINT PARK,0,0,0,1,0,0,0,1
BELMONT PLAYGROUND BRONX,0,0,2,0,0,0,0,2
BICENTENNIAL VETERANS MEMORIAL PARK,0,0,0,0,1,0,0,1
BRONX PARK,0,0,8,5,0,6,0,19
BRONX RIVER PARKWAY,0,1,1,0,0,0,0,2
BUFANO PARK,0,0,0,1,0,0,0,1
BURNS PLAYGROUND,0,0,0,1,0,0,0,1
CLAREMONT PARK,1,0,13,2,0,3,0,19
CLARK PLAYGROUND,0,0,2,0,0,0,0,2
COLUCCI PLAYGROUND,0,0,1,0,0,0,0,1
CONCRETE PLANT PARK,0,0,1,0,0,0,0,1
CROTONA PARK,0,0,12,4,0,8,0,24
DEVOE PARK,0,0,2,0,0,2,0,4
DUNBAR PLAYGROUND,0,0,0,0,0,1,0,1
EAE J MITCHELL PARK,0,0,0,1,0,0,0,1
EWEN PARK,0,0,1,1,0,0,0,2
FERRY POINT PARK,0,0,0,0,1,0,0,1
FLYNN PLAYGROUND,0,0,1,0,0,0,0,1
FRANZ SIGEL PARK,0,0,8,0,0,0,0,8
GOUVERNEUR PLAYGROUND,0,0,0,1,0,0,0,1
GRANT PARK,0,0,0,1,0,0,0,1
GUN HILL PLAYGROUND,0,0,1,1,0,0,0,2
HAFFEN PARK,0,0,1,1,0,0,0,2
HALF-NELSON PLAYGROUND,0,0,0,1,0,0,0,1
HAVEMEYER PLAYGROUND,0,0,1,0,0,0,0,1
HORSESHOE PLAYGROUND,0,0,1,0,0,0,0,1
HUNTS POINT RIVERSIDE PARK,0,0,1,0,0,0,0,1
JOYCE KILMER PARK,0,0,9,2,0,3,0,14
LORETO PLAYGROUND,0,0,0,0,0,1,0,1
LYONS SQUARE PLAYGROUND,0,0,0,1,0,0,0,1
MACOMBS DAM PARK,1,0,5,1,0,6,0,13
MARBLE HILL PLAYGROUND,0,0,1,0,0,0,0,1
MATTHEWS MULINER PLAYGROUND,0,0,0,1,0,0,0,1
MELROSE PLAYGROUND,0,0,1,0,0,0,0,1
MILL POND PARK,0,0,0,1,0,0,0,1
MOSHOLU PARKWAY,0,0,2,0,0,0,0,2
MOTT PLAYGROUND,0,0,1,0,0,0,0,1
MOUNT HOPE PLAYGROUND,1,0,1,1,0,0,0,3
MULLALY PARK,0,0,4,4,0,2,0,10
NELSON PLAYGROUND,0,0,0,2,0,0,0,2
NOBLE PLAYGROUND,0,0,1,0,0,0,0,1
OWEN F. DOLEN PARK,0,0,1,0,0,0,0,1
PELHAM BAY LITTLE LEAGUE,0,0,0,0,1,0,0,1
PELHAM BAY PARK,0,1,3,2,0,2,0,8
POE PARK,0,0,2,0,0,0,0,2
PONTIAC PLAYGROUND,0,0,1,1,0,0,0,2
QUARRY BALLFIELDS,0,0,1,1,0,0,0,2
RAINEY PARK BRONX,0,0,1,1,0,0,0,2
RICHMAN (ECHO) PARK,0,0,0,3,0,0,0,3
RIENZI PLAYGROUND,0,0,0,0,0,1,0,1
RIVER AVENUE PARKS,0,0,1,2,0,0,0,3
SAW MILL PLAYGROUND,0,1,0,0,0,0,0,1
SEABURY PARK,0,0,0,0,0,1,0,1
SEDGWICK PLAYGROUND,0,0,1,0,0,0,0,1
SETON FALLS PARK,0,1,1,0,0,0,0,2
SOUNDVIEW PARK,0,0,0,1,0,3,0,4
ST. JAMES PARK,0,0,2,5,0,0,0,7
ST. MARY'S PARK BRONX,0,0,11,4,0,1,0,16
STARLIGHT PARK,0,0,2,0,0,0,0,2
STARS & STRIPES PLAYGROUND,0,0,1,0,0,0,0,1
STORY PLAYGROUND,0,0,2,0,0,0,0,2
TAYLOR PLAYGROUND,0,0,0,1,0,0,0,1
TIFFANY PLAYGROUND,0,0,1,0,0,0,0,1
TREMONT PARK,0,0,0,0,0,1,0,1
VAN CORTLANDT PARK,0,1,4,5,1,5,0,16
VINMONT VETERAN PARK,0,0,1,0,0,0,0,1
VIRGINIA PARK,0,0,0,1,0,0,0,1
VIRGINIA PLAYGROUND,0,0,1,0,0,0,0,1
WATSON GLEASON PLAYGROUND,0,0,1,0,0,1,0,2
WEBSTER PLAYGROUND,0,0,1,0,0,0,0,1
WILLIAMSBRIDGE OVAL,0,0,4,3,0,0,0,7
WILLIS PLAYGROUND,0,0,0,2,0,0,0,2
