PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
AGNES HAYWOOD PLAYGROUND,0,0,1,0,0,0,0,1
AQUEDUCT WALK,0,0,5,2,0,1,0,8
BAILEY PLAYGROUND,0,0,0,0,0,1,0,1
BATHGATE PLAYGROUND,0,0,1,1,0,1,0,3
BEHAGEN PLAYGROUND,0,0,1,0,0,0,0,1
BELMONT PLAYGROUND BRONX,0,0,1,0,0,1,0,2
BRONX PARK,0,1,10,0,0,3,0,14
BRONX RIVER PARKWAY,0,0,2,1,0,1,0,4
BRUCKNER PLAYGROUND,0,0,1,0,0,0,0,1
CAPTAIN RIVERA PLAYGROUND,0,0,0,2,0,0,0,2
CASERTA PLAYGROUND,0,0,0,1,0,0,0,1
CASTLE HILL PARK,0,0,1,0,0,0,0,1
CEDAR PLAYGROUND,0,0,0,1,0,0,0,1
CLAREMONT PARK,0,0,8,1,0,2,0,11
CLARK PLAYGROUND,0,0,0,2,0,0,0,2
CONCRETE PLANT PARK,0,1,0,0,0,0,0,1
CROTONA PARK,0,0,8,14,1,8,1,32
DEVOE PARK,0,0,3,4,0,0,0,7
EDENWALD PLAYGROUND,0,0,1,0,0,0,0,1
EWEN PARK,0,0,1,0,0,0,0,1
FORDHAM LANDING PLAYGROUND,0,0,0,0,0,1,0,1
FORT INDEPENDENCE PLAYGROUND,0,0,0,1,0,0,0,1
FRANZ SIGEL PARK,0,0,3,1,0,0,0,4
HARRIS PARK,0,0,0,1,0,0,0,1
HIGHBRIDGE PARK BRONX SIDE,0,0,1,0,0,1,0,2
HUNTS POINT PLAYGROUND,0,0,1,0,0,0,0,1
HUNTS POINT RIVERSIDE PARK,0,0,0,1,0,0,0,1
JOYCE KILMER PARK,0,1,1,2,1,0,0,5
MACOMBS DAM PARK,0,0,5,0,0,4,0,9
MERRIAM PLAYGROUND,0,0,1,0,0,0,0,1
MOSHOLU PARKWAY,0,0,3,0,0,0,0,3
MOUNT HOPE PLAYGROUND,0,1,1,0,0,0,0,2
MULLALY PARK,0,0,4,2,0,2,0,8
NOBLE PLAYGROUND,0,0,0,1,0,0,0,1
P.O. SERRANO PLAYGROUND,0,0,0,0,0,1,0,1
PELHAM BAY PARK,0,1,0,0,0,3,0,4
PELHAM PARKWAY,0,0,1,0,0,0,0,1
PEOPLE'S PARK,0,0,0,0,0,1,0,1
PLAYGROUND 174,0,0,0,1,0,0,0,1
POE PARK,0,0,1,0,0,2,0,3
PONTIAC PLAYGROUND,0,0,1,0,0,0,0,1
PUGSLEY CREEK PARK,0,0,3,0,0,0,0,3
PULASKI PARK,0,0,0,0,0,1,0,1
QUARRY BALLFIELDS,0,0,1,0,0,0,0,1
RAILROAD PARK BRONX,0,0,0,0,0,1,0,1
RAINEY PARK BRONX,0,0,1,2,0,0,0,3
RICHMAN (ECHO) PARK,0,1,2,2,0,1,0,6
SEDGWICK PLAYGROUND,0,0,1,0,0,1,0,2
SETON FALLS PARK,0,0,2,1,0,0,0,3
SETON PARK,0,0,1,0,0,0,0,1
SLATTERY PLAYGROUND,0,0,0,1,0,0,0,1
SOUNDVIEW PARK,0,1,1,4,0,1,0,7
ST. JAMES PARK,0,0,2,3,0,3,0,8
ST. MARY'S PARK BRONX,0,1,8,4,0,2,0,15
STARLIGHT PARK,0,0,0,1,0,0,0,1
STORY PLAYGROUND,0,0,0,1,0,0,0,1
TREMONT PARK,0,0,2,0,0,1,0,3
VAN CORTLANDT PARK,0,0,2,1,1,3,0,7
VAN NEST PARK,0,0,0,1,0,1,0,2
VIDALIA PARK,0,0,1,0,0,0,0,1
VIRGINIA PLAYGROUND,0,0,0,0,0,1,0,1
WATSON GLEASON PLAYGROUND,0,0,3,1,0,2,0,6
WEBSTER PLAYGROUND,0,0,1,0,0,1,0,2
WILLIAMSBRIDGE OVAL,0,0,4,1,0,3,0,8
WILLIS PLAYGROUND,0,0,1,0,0,0,0,1
ZIMMERMAN PLAYGROUND,0,0,0,1,0,0,0,1
