PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
AGNES HAYWOOD PLAYGROUND,0,0,1,0,0,0,0,1
AQUEDUCT WALK,0,0,1,0,0,0,0,1
BEHAGEN PLAYGROUND,0,0,1,0,0,0,0,1
BRONX PARK,0,1,1,0,0,2,0,4
BUFANO PARK,0,0,0,0,0,1,0,1
CAPTAIN RIVERA PLAYGROUND,0,0,1,1,0,0,0,2
CITY ISLAND WETLANDS,0,0,0,1,0,0,0,1
CLAREMONT PARK,0,0,3,0,0,0,0,3
CONCRETE PLANT PARK,0,0,1,0,0,0,0,1
CROTONA PARK,0,0,7,0,1,6,1,15
CROTONA PARKWAY MALLS,0,0,0,0,0,1,0,1
DAWSON PLAYGROUND,0,0,2,0,0,1,0,3
DEVOE PARK,0,0,0,1,0,0,0,1
EWEN PARK,0,0,2,0,0,0,0,2
FAIRMOUNT PLAYGROUND,0,0,0,0,0,1,0,1
FERRY POINT PARK,0,0,0,1,0,1,0,2
FRANZ SIGEL PARK,0,0,1,1,0,0,0,2
GOBLE PLAYGROUND,0,0,1,0,0,0,0,1
HAFFEN PARK,0,0,0,1,0,0,0,1
HARDING PARK,0,0,0,0,0,1,0,1
HARRIS PARK,0,0,0,0,0,0,1,1
HENRY HUDSON PARK,0,0,1,0,0,0,0,1
HIGHBRIDGE PARK BRONX SIDE,0,0,0,0,0,1,0,1
HORSESHOE PLAYGROUND,0,0,0,0,0,1,0,1
HUNTS POINT PLAYGROUND,0,0,0,1,1,1,0,3
JOYCE KILMER PARK,0,0,3,0,0,0,0,3
LOZADA PLAYGROUND,1,0,0,0,0,0,0,1
LYONS SQUARE PLAYGROUND,0,0,0,1,0,1,0,2
MACOMBS DAM PARK,0,0,0,0,0,7,0,7
MARBLE HILL PLAYGROUND,0,0,1,0,0,0,0,1
MOSHOLU PARKWAY,0,0,1,0,0,0,0,1
MULLALY PARK,0,0,4,3,0,1,0,8
NOBLE PLAYGROUND,0,0,0,1,0,0,0,1
PELHAM BAY PARK,0,0,0,0,1,1,0,2
PEOPLE'S PARK,0,0,0,2,0,0,0,2
POE PARK,0,0,1,0,0,0,0,1
PUGSLEY CREEK PARK,0,0,1,1,0,0,0,2
QUARRY BALLFIELDS,0,0,1,0,0,0,0,1
RAINEY PARK BRONX,0,0,1,1,0,1,0,3
RIVER AVENUE PARKS,0,0,0,0,0,2,0,2
SEDGWICK PLAYGROUND,0,0,0,0,0,1,0,1
SETON FALLS PARK,0,0,1,1,0,0,0,2
SOUNDVIEW PARK,0,1,1,2,0,3,0,7
ST. JAMES PARK,0,0,2,5,0,2,0,9
ST. MARY'S PARK BRONX,0,0,3,0,0,4,0,7
STARLIGHT PARK,0,0,1,0,0,0,0,1
VAN CORTLANDT PARK,0,0,2,4,3,5,0,14
WASHINGTON'S WALK,0,0,0,1,0,0,0,1
WILLIAMSBRIDGE OVAL,0,0,1,0,0,2,0,3
WILLIS PLAYGROUND,0,0,0,1,0,0,0,1
ZIMMERMAN PLAYGROUND,0,0,0,0,0,1,0,1
