PARK,M,RP,RB,FA,BG,GL,GLM,TOTAL
AQUEDUCT WALK,0,0,3,2,1,3,0,9
ARCILLA PLAYGROUND,0,0,1,1,0,0,0,2
BELMONT PLAYGROUND BRONX,0,0,2,0,0,0,0,2
BRONX PARK,0,1,10,1,0,3,1,16
BRONX RIVER PARKWAY,0,1,2,1,0,1,0,5
CEDAR PLAYGROUND,0,0,1,0,0,0,0,1
CLAREMONT PARK,0,0,14,7,0,2,0,23
CLARK PLAYGROUND,0,0,0,3,0,0,0,3
CONCRETE PLANT PARK,0,0,0,1,0,0,0,1
CROTONA PARK,1,0,6,6,1,1,0,15
DEVOE PARK,0,0,0,1,0,2,0,3
FERRY POINT PARK,0,0,1,0,0,1,0,2
FRANZ SIGEL PARK,0,0,4,1,0,0,0,5
GRANT PARK,0,0,2,1,0,2,0,5
GUN HILL PLAYGROUND,0,0,1,0,0,0,0,1
HARRIS PARK,0,0,0,0,0,1,0,1
HAVEMEYER PLAYGROUND,0,0,1,0,0,0,0,1
HIGHBRIDGE PARK BRONX SIDE,0,0,0,1,0,0,0,1
HUNTS POINT PLAYGROUND,0,0,0,1,0,0,0,1
JOYCE KILMER PARK,0,0,4,1,0,0,0,5
JULIO CARBALLO FIELDS,0,0,1,0,0,0,0,1
LORETO PLAYGROUND,0,0,1,0,0,0,0,1
LYONS SQUARE PLAYGROUND,0,0,0,1,0,0,0,1
MACOMBS DAM PARK,0,0,3,2,0,6,0,11
MAGENTA PLAYGROUND,0,0,1,0,0,0,0,1
MATTHEWS MULINER PLAYGROUND,0,0,1,0,0,0,0,1
MERRIAM PLAYGROUND,0,0,1,0,0,0,0,1
MILL POND PARK,0,0,0,1,0,0,0,1
MOSHOLU PARKWAY,0,0,1,0,0,3,0,4
MOSHOLU PLAYGROUND,0,0,0,1,0,0,0,1
MOTT PLAYGROUND,0,0,0,2,0,0,0,2
MOUNT HOPE PLAYGROUND,0,0,1,0,0,1,0,2
MULLALY PARK,0,0,3,1,0,1,0,5
NOBLE PLAYGROUND,0,0,1,0,0,2,0,3
PATTERSON PLAYGROUND,0,0,0,1,0,0,0,1
PELHAM BAY PARK,0,0,0,1,0,5,0,6
PELHAM PARKWAY,0,0,2,0,0,0,0,2
RAILROAD PARK BRONX,0,0,1,1,0,0,0,2
RAINEY PARK BRONX,0,0,1,4,0,0,0,5
RICHMAN (ECHO) PARK,0,1,3,1,0,0,0,5
SAW MILL PLAYGROUND,0,0,1,0,0,0,0,1
SETON FALLS PARK,0,0,0,1,0,0,0,1
SLATTERY PLAYGROUND,0,0,1,0,0,0,0,1
SOUNDVIEW PARK,0,1,1,0,0,2,0,4
ST. JAMES PARK,0,0,4,5,0,0,0,9
ST. MARY'S PARK BRONX,1,0,7,4,0,4,0,16
STARLIGHT PARK,0,0,3,2,0,1,0,6
THE PEARLY GATES,0,0,0,1,0,0,0,1
TREMONT PARK,0,0,1,1,0,2,0,4
UNIVERSITY WOODS,0,0,1,0,0,0,0,1
VAN CORTLANDT PARK,0,0,1,2,2,3,0,8
VIDALIA PARK,0,0,0,0,0,1,0,1
VIRGINIA PARK,0,0,1,0,0,0,0,1
VIRGINIA PLAYGROUND,0,0,0,0,0,1,0,1
WALTON PARK,0,0,0,1,0,0,0,1
WASHINGTON PARK BRONX,0,0,1,0,0,0,0,1
WASHINGTON'S WALK,0,0,0,1,0,0,0,1
WATSON GLEASON PLAYGROUND,0,0,2,0,0,1,0,3
WILLIAMSBRIDGE OVAL,0,0,5,3,0,1,0,9
